title,authors,publishDate,journal,summary,relevanceScore,tags,url
"  CRISPR-Cas9 Gene Editing Efficiency in Human Cells ","Jennifer A. Doudna, Emmanuel Charpentier",2023-05-12,Nature Biotechnology,"This study evaluates the targeting efficiency and off-target effects of CRISPR-Cas9 system.",95,CRISPR;Gene Editing,https://www.nature.com/nbt
"Deep Learning for Automated Cancer Histopathology Classification","Andrew Ng, Fei-Fei Li",2024/01/15,IEEE Transactions on Medical Imaging,"An end-to-end convolutional neural network (CNN) designed to classify breast cancer histopathological images.",,AI;Cancer;Deep Learning,https://ieeexplore.ieee.org
"Single-Cell RNA-Seq Reveals Immune Microenvironment in Lung Cancer","Sarah Teichmann",2022-11-30,Cell,"Profiling over 50,000 single cells to map the cellular landscape in lung cancer.",85,Single-Cell;Bioinformatics;Cancer,https://www.cell.com
" mRNA Vaccine Delivery Systems: Lipid Nanoparticles Optimization  ","Robert Langer, Katalin Karikó",2023-08-22,Advanced Materials,"Systematic screening of novel ionizable lipids to enhance mRNA delivery.",88,mRNA;Vaccine,https://onlinelibrary.wiley.com
"Machine Learning in Virtual Screening for Drug Discovery","Demis Hassabis",2024/03/05,Journal of Medicinal Chemistry,"Integrating deep generative models to speed up drug discovery.",92,AI;Drug Discovery,https://pubs.acs.org
"Clinical Efficacy of CAR-T Cell Therapy in B-Cell Lymphoma","Carl June",2021/06/18,New England Journal of Medicine,"Long-term follow-up results demonstrating durable complete responses.",78,CAR-T;Cancer,https://www.nejm.org
"AlphaFold 3: Predicting Biomolecular Structures and Interactions","John Jumper, Demis Hassabis",2024-05-10,Nature,"Predicting 3D structures and chemical modifications of proteins, DNA, and RNA.",98,AI;AlphaFold;Protein Structure,https://www.nature.com
"Applications of CRISPR in Agricultural Genetic Engineering","Feng Zhang",2022/04/02,Plant Physiology,"Reviewing how CRISPR technology is utilized to create disease-resistant crop varieties.",,CRISPR;Agriculture,https://academic.oup.com/plphys
"AI-Driven Interpretation of Electrocardiograms in Emergency Care","Eric Topol",2023/10/14,The Lancet,"Testing an AI algorithm's ability to alert clinicians to acute myocardial infarction in real-time.",72,AI;Clinical Medicine,https://www.thelancet.com
"The Landscape of Somatic Mutations in Human Cancers","Mike Stratton",2020-02-05,Nature Genetics,"A comprehensive analysis of cancer genomes across 38 tumor types.",65,Cancer;Genomics,https://www.nature.com/ng
